Run,Time (nanoseconds)
1,821625
2,816917
3,764375
4,725083
5,725084
6,730875
7,725250
8,725084
9,725416
10,724500
11,688917
12,735750
13,652583
14,651542
15,652458
16,651750
17,653333
18,651667
19,651709
20,609917
21,593875
22,594584
23,595791
24,595000
25,594708
26,593750
27,596292
28,594875
29,595458
30,562042
31,551000
32,550875
33,550417
34,553083
35,550875
36,563625
37,550292
38,552250
39,628709
40,594000
41,564542
42,551667
43,550291
44,523917
45,516792
46,517625
47,519625
48,516625
49,527750
50,516500
51,517334
52,517042
53,533125
54,535417
55,501708
56,495083
57,492083
58,491625
59,491750
60,491542
61,493583
62,502166
63,494958
64,492000
65,494500
66,491916
67,480417
68,505042
69,584916
70,470291
71,469958
72,469792
73,470375
74,470541
75,459083
76,453500
77,453917
78,453958
79,453958
80,454541
81,454417
82,459583
83,467917
84,454375
85,454334
86,454667
87,453708
88,443458
89,439625
90,440208
91,440708
92,439125
93,439750
94,439375
95,440041
96,440375
97,435333
98,433459
99,432959
100,432792
