Run,Time (nanoseconds)
1,2291000
2,2394167
3,2258375
4,2096209
5,2030875
6,1982291
7,2156458
8,1903250
9,1851958
10,1854084
11,1797792
12,1731334
13,1721250
14,1681000
15,1610667
16,1703417
17,1630417
18,1536709
19,1534000
20,1544916
21,1542708
22,1485417
23,1025333
24,1467917
25,1468458
26,1421875
27,1416208
28,1491209
29,1416083
30,1382958
31,1373333
32,1380334
33,955083
34,1379708
35,1341292
36,1323875
37,1321750
38,1343625
39,1387500
40,1332666
41,1302000
42,1261458
43,1249708
44,1219833
45,1224125
46,1239959
47,1254083
48,1213166
49,1217250
50,1219916
51,3547625
52,2344375
53,1593916
54,4163250
55,2453125
56,2410542
57,2393292
58,1383542
59,1287041
60,1308500
61,2006041
62,3225875
63,1218000
64,1280791
65,1210083
66,1225500
67,1206792
68,1264667
69,1457916
70,1207000
71,1206417
72,854083
73,1204584
74,1248292
75,1237708
76,1260458
77,1245625
78,1267375
79,1248958
80,1226083
81,1252500
82,1383041
83,1247583
84,1209208
85,1227792
86,1241500
87,1234333
88,1215167
89,1232042
90,1282709
91,1268375
92,1208917
93,1222000
94,1275792
95,1347583
96,1218666
97,1219750
98,1392333
99,852500
100,1254500
