Run,Time (nanoseconds)
1,53046208
2,40491000
3,39942458
4,40408958
5,40324875
6,40793208
7,40934542
8,41282375
9,46640792
10,69283958
11,84543916
12,57702959
13,54881833
14,59548500
15,60473792
16,41959625
17,41928375
18,41495833
19,41550459
20,41473250
21,41331041
22,41172042
23,41385792
24,41183833
25,41232916
26,41433708
27,41384709
28,40923167
29,41445333
30,41166375
31,41141042
32,41220125
33,40869834
34,41550875
35,41191917
36,41146125
37,41362917
38,41122292
39,41120333
40,41444750
41,41035500
42,41503083
43,40959167
44,41547000
45,40916292
46,41683500
47,41361209
48,41106750
49,41862208
50,41377542
51,40953458
52,41215000
53,41115834
54,41148375
55,41113416
56,41125708
57,41188750
58,41402917
59,41432958
60,40747667
61,41457583
62,41099834
63,41159542
64,40806875
65,41246542
66,41289750
67,41359875
68,41900125
69,40998916
70,56959708
71,41709125
72,41217875
73,41473083
74,41252167
75,41270500
76,41594541
77,41245750
78,41322917
79,41115750
80,41176375
81,41159417
82,41251375
83,41348584
84,41702083
85,41158542
86,41419750
87,41305000
88,41060375
89,41135833
90,41420916
91,41088834
92,41179167
93,41071708
94,41030209
95,41247167
96,41304333
97,41136500
98,41009792
99,41744958
100,40929375
