Run,Time (nanoseconds)
1,133087583
2,94654209
3,110590792
4,136674167
5,183298042
6,177888625
7,148686041
8,122098667
9,114361709
10,119700333
11,130462375
12,123957375
13,117767583
14,116298416
15,116640375
16,122800208
17,108134083
18,122270833
19,112392792
20,116796750
21,115914209
22,107104583
23,114697625
24,109397459
25,122550125
26,116687542
27,117785917
28,133328708
29,106132959
30,108495208
31,102030416
32,123169250
33,109828500
34,110618625
35,122722792
36,125187959
37,123199166
38,118906959
39,114296625
40,115352084
41,119589584
42,130878667
43,130675459
44,111113292
45,121838792
46,116370500
47,131031041
48,107634500
49,116249958
50,119061750
51,129801541
52,123549333
53,121323042
54,113424750
55,107813500
56,123089958
57,113972875
58,102969333
59,121621000
60,129665292
61,129476375
62,112917916
63,124132625
64,124870375
65,126818458
66,119086459
67,116194375
68,117609458
69,122130708
70,109045167
71,116469000
72,103148791
73,130927916
74,121543375
75,126301625
76,106167542
77,116461958
78,123130750
79,115125250
80,112208209
81,114971958
82,113259000
83,123887042
84,120683875
85,115536000
86,121187709
87,123600916
88,130088291
89,124005083
90,104751917
91,129980167
92,115155500
93,124223084
94,119627292
95,126053583
96,121091583
97,124407625
98,128565708
99,117608666
100,126202958
