Run,Time (nanoseconds)
1,73990125
2,75883917
3,75645958
4,74819125
5,76941917
6,157909917
7,114182125
8,78328041
9,77378000
10,76513209
11,76350708
12,75134292
13,76966083
14,76902667
15,77060542
16,76115583
17,74704250
18,76894625
19,76578666
20,77403375
21,74145709
22,77559167
23,76170375
24,76261792
25,76153000
26,76910250
27,77054458
28,77162250
29,73971208
30,76329875
31,76466709
32,76623292
33,77017000
34,74666417
35,76102000
36,76496500
37,75897750
38,76587416
39,76686958
40,75842500
41,76267875
42,77221667
43,76085084
44,76381500
45,76199083
46,76496291
47,76549000
48,76271000
49,76589708
50,75609959
51,75209958
52,76632833
53,75231291
54,76139750
55,76631792
56,76923583
57,76715291
58,77217000
59,75080666
60,93651583
61,76804333
62,76540500
63,77117250
64,76828542
65,75327833
66,76318708
67,77159000
68,76354417
69,75717708
70,77138500
71,74177500
72,77083000
73,77275042
74,76149542
75,76442250
76,76851250
77,76442666
78,74819208
79,77226375
80,76143792
81,76266000
82,76466125
83,77255750
84,74921292
85,77351333
86,76574125
87,75561834
88,76252041
89,76290125
90,76937792
91,76924791
92,76714750
93,76368958
94,76346709
95,76529209
96,75492583
97,76836000
98,75950666
99,76449375
100,73797709
