Run,Time (nanoseconds)
1,184667
2,185584
3,184917
4,184542
5,185500
6,185208
7,184792
8,184875
9,184959
10,185709
11,185167
12,185083
13,184542
14,184833
15,185125
16,185250
17,184875
18,185000
19,184583
20,186584
21,184292
22,183500
23,184916
24,185500
25,185167
26,184959
27,185000
28,184917
29,184750
30,184792
31,184375
32,184125
33,184916
34,184708
35,184958
36,184334
37,184166
38,185000
39,184833
40,169250
41,166000
42,166250
43,165875
44,165708
45,166459
46,165917
47,165167
48,165625
49,166167
50,166042
51,166041
52,166000
53,166458
54,166167
55,195084
56,166625
57,166333
58,166291
59,166167
60,166833
61,166500
62,166167
63,166167
64,166833
65,166542
66,166167
67,166375
68,166250
69,165833
70,168084
71,166542
72,165792
73,166375
74,166459
75,165875
76,165333
77,164875
78,165250
79,165250
80,164584
81,165750
82,165459
83,165417
84,165208
85,165583
86,154917
87,150917
88,150792
89,150667
90,150542
91,151833
92,151916
93,151709
94,151958
95,152166
96,153500
97,150917
98,150667
99,150792
100,151000
