Run,Time (nanoseconds)
1,379834
2,372417
3,344750
4,327083
5,320833
6,318458
7,316917
8,315834
9,315208
10,315584
11,315041
12,315041
13,315208
14,315083
15,314667
16,296375
17,283875
18,283500
19,332542
20,307459
21,290292
22,286791
23,285083
24,283542
25,283834
26,282792
27,284417
28,274083
29,283416
30,282792
31,189750
32,189125
33,190667
34,286041
35,282084
36,281500
37,270458
38,257292
39,257917
40,257125
41,257667
42,257875
43,257250
44,257542
45,257333
46,256958
47,257334
48,257709
49,257708
50,257625
51,257542
52,260291
53,257333
54,257709
55,257541
56,257458
57,260125
58,258042
59,257916
60,260167
61,257000
62,256542
63,256708
64,259000
65,263167
66,263917
67,280250
68,262333
69,282291
70,255041
71,252708
72,249250
73,238625
74,240958
75,241000
76,238625
77,239167
78,239166
79,241541
80,238709
81,238667
82,241417
83,238666
84,241667
85,238459
86,238625
87,238375
88,238042
89,237958
90,235750
91,222833
92,223000
93,223333
94,222875
95,223125
96,225333
97,225708
98,223375
99,223208
100,223042
