Run,Time (nanoseconds)
1,261000
2,258458
3,258083
4,258084
5,258292
6,257833
7,258334
8,258042
9,257833
10,258042
11,257792
12,269959
13,258083
14,368500
15,422792
16,388291
17,422000
18,426792
19,330125
20,353792
21,258042
22,258042
23,266375
24,257916
25,258084
26,266083
27,257875
28,264417
29,266417
30,258125
31,258166
32,257875
33,258125
34,257834
35,292833
36,265500
37,293000
38,435917
39,460500
40,535542
41,627542
42,462625
43,258125
44,423833
45,258125
46,258083
47,257875
48,257917
49,257834
50,257875
51,257875
52,259292
53,257917
54,257958
55,257959
56,370875
57,258083
58,257834
59,258167
60,257875
61,258125
62,257875
63,258125
64,257833
65,258125
66,257959
67,258125
68,305125
69,258167
70,258042
71,258333
72,258125
73,291625
74,433250
75,504250
76,353417
77,258083
78,271084
79,270333
80,257875
81,258250
82,257875
83,257875
84,258042
85,257916
86,257959
87,257958
88,257875
89,257875
90,275792
91,258166
92,257917
93,271292
94,257875
95,258125
96,265459
97,258167
98,257833
99,258167
100,257875
