Run,Time (nanoseconds)
1,614125
2,611584
3,611666
4,611375
5,611375
6,656625
7,611292
8,704250
9,645083
10,1081000
11,611083
12,611250
13,610959
14,677791
15,611083
16,611292
17,611083
18,614042
19,611084
20,919458
21,612833
22,611208
23,612834
24,611125
25,612875
26,684584
27,656375
28,1048625
29,945500
30,1134708
31,836083
32,611583
33,616667
34,611166
35,611125
36,612791
37,680375
38,615625
39,612833
40,622625
41,612791
42,626333
43,612750
44,611000
45,612834
46,620250
47,897291
48,643500
49,694750
50,611250
51,615958
52,611250
53,615875
54,611084
55,615083
56,611166
57,614833
58,611167
59,614834
60,611084
61,614833
62,627083
63,615791
64,611125
65,617375
66,611042
67,622167
68,2476375
69,1222000
70,1084125
71,921167
72,980958
73,6712750
74,611500
75,613167
76,611459
77,673708
78,1089500
79,896125
80,732417
81,664667
82,612833
83,611041
84,614792
85,611083
86,614834
87,686375
88,611458
89,614833
90,611041
91,614791
92,610958
93,614792
94,642667
95,611250
96,617375
97,1005000
98,716792
99,611125
100,614750
