Run,Time (nanoseconds)
1,460250
2,453000
3,453250
4,450875
5,450791
6,451500
7,450834
8,449292
9,705208
10,810625
11,767667
12,452209
13,451666
14,451167
15,502417
16,456333
17,448667
18,461500
19,450750
20,451000
21,448041
22,446542
23,445333
24,505125
25,825917
26,453958
27,450292
28,449292
29,468542
30,448542
31,495959
32,447417
33,449792
34,455625
35,484083
36,448791
37,447959
38,447000
39,445209
40,449167
41,449333
42,448167
43,446917
44,445333
45,448500
46,448834
47,448292
48,547041
49,551250
50,787083
51,458125
52,482250
53,464333
54,482875
55,608208
56,448875
57,449292
58,447167
59,447417
60,446458
61,448750
62,447083
63,465833
64,463958
65,447250
66,450750
67,445542
68,446916
69,446334
70,447667
71,447917
72,444041
73,486167
74,447875
75,449875
76,733917
77,449666
78,445667
79,465542
80,446917
81,445000
82,449125
83,447666
84,448209
85,446209
86,449375
87,601708
88,447167
89,448791
90,446750
91,450916
92,445459
93,451708
94,446667
95,444834
96,476542
97,449542
98,450375
99,448875
100,447791
