Run,Time (nanoseconds)
1,22566500
2,23118667
3,22990708
4,23218125
5,22856167
6,23049250
7,22888125
8,22957709
9,22863667
10,22930000
11,23277750
12,23434041
13,24285500
14,22953916
15,22897792
16,23127375
17,23434792
18,23812666
19,23501041
20,22821333
21,34910500
22,22839958
23,22852917
24,22802083
25,23113375
26,22760500
27,22911875
28,22788041
29,22832791
30,22750125
31,22714542
32,22798667
33,22804000
34,22915584
35,22704916
36,22758333
37,22870583
38,22694458
39,22674667
40,22785167
41,22849166
42,22808500
43,22761083
44,22847250
45,23003417
46,22861208
47,22874916
48,22900666
49,22789958
50,22996875
51,22940542
52,22836667
53,22848958
54,22805250
55,22670459
56,22859500
57,22659625
58,22851417
59,22753625
60,22729542
61,22801458
62,22737208
63,22720250
64,22749417
65,22856000
66,23183500
67,23025875
68,23142083
69,23073416
70,23135083
71,23223666
72,29576333
73,28245541
74,22834667
75,22851375
76,22907750
77,22905666
78,22786708
79,22842625
80,22884291
81,22922583
82,22783750
83,22818625
84,22851542
85,22869292
86,22811875
87,22924750
88,23251250
89,22977459
90,23033250
91,22974333
92,23064833
93,23180250
94,23099666
95,23166750
96,23035917
97,22974083
98,23099792
99,23106708
100,23235875
