Run,Time (nanoseconds)
1,56548375
2,57026958
3,56871583
4,56520292
5,59870625
6,61273958
7,56840917
8,56650541
9,56668250
10,56578667
11,56721500
12,56488042
13,56734292
14,56622000
15,56468583
16,56658459
17,56718917
18,56594833
19,56653042
20,56589458
21,56512500
22,56535375
23,56575792
24,56512333
25,66948834
26,56584125
27,56500959
28,56504917
29,56478417
30,56550875
31,56579875
32,56682458
33,56527084
34,56518708
35,56577500
36,56477750
37,56516834
38,56542125
39,56509792
40,56571834
41,56486750
42,57233125
43,57803875
44,56493583
45,56584667
46,56856125
47,57471583
48,56586917
49,56614875
50,56525625
51,56544500
52,56696334
53,56454958
54,56746583
55,56544083
56,56763042
57,57022792
58,56616292
59,56566000
60,57104708
61,56983000
62,67714167
63,56640167
64,56538334
65,56562459
66,56684625
67,56790250
68,56546250
69,56564291
70,56557708
71,56512709
72,56515125
73,56523917
74,56535750
75,56586000
76,56505750
77,56542041
78,58200500
79,56585375
80,56481458
81,56450083
82,56536375
83,56732375
84,56518416
85,56568833
86,56566459
87,56571084
88,56576583
89,56560333
90,56574083
91,56545625
92,56510791
93,56482042
94,56614750
95,56668125
96,56525708
97,56671958
98,56603125
99,68421667
100,58190750
