Run,Time (nanoseconds)
1,41764959
2,41866000
3,41625667
4,41086625
5,41601750
6,41709209
7,45001750
8,42982083
9,41293666
10,41770750
11,44173042
12,44764666
13,42262292
14,42084458
15,41682042
16,41945208
17,42666375
18,41670459
19,41555875
20,41274833
21,41643292
22,41224708
23,41336125
24,41173625
25,41557041
26,41435125
27,41380500
28,41447500
29,41380500
30,41420167
31,54843417
32,41518250
33,41350000
34,41543791
35,41320458
36,41570292
37,41481292
38,41288667
39,41136541
40,41616875
41,41620542
42,41539625
43,41287541
44,41564250
45,41097875
46,41566833
47,41112625
48,41412916
49,41171583
50,41396500
51,41233750
52,41557958
53,41380041
54,41614166
55,41195209
56,41577333
57,41441750
58,41619916
59,41574042
60,41294250
61,41446500
62,41473958
63,41875375
64,41362375
65,41375750
66,41734209
67,41339750
68,41848750
69,41538792
70,41553625
71,41204250
72,41490125
73,41663584
74,42168834
75,41762750
76,41955167
77,41264792
78,42052042
79,41372750
80,41617084
81,41647084
82,42027375
83,41541792
84,41644500
85,41379459
86,41685542
87,41402792
88,41504125
89,41177041
90,41474166
91,56203625
92,42273083
93,41338166
94,41344083
95,41219167
96,41917583
97,41097166
98,41689416
99,41765417
100,41577625
