Run,Time (nanoseconds)
1,68333
2,65833
3,65667
4,65583
5,65333
6,65458
7,65375
8,65458
9,65416
10,65458
11,65375
12,65459
13,65416
14,65417
15,65458
16,65458
17,65417
18,65417
19,65417
20,65458
21,65375
22,65375
23,65583
24,119709
25,100541
26,111625
27,95084
28,93292
29,98750
30,98375
31,117708
32,131167
33,111000
34,126666
35,109917
36,65500
37,65500
38,65583
39,65375
40,65417
41,65417
42,65375
43,65417
44,65375
45,65500
46,65500
47,65375
48,78834
49,65375
50,65542
51,95959
52,65500
53,65375
54,65375
55,65541
56,65375
57,65458
58,65375
59,65500
60,65375
61,65500
62,65375
63,65542
64,65375
65,65375
66,65375
67,107625
68,82208
69,65750
70,65542
71,80084
72,65458
73,65375
74,65333
75,65375
76,65333
77,66834
78,65375
79,65500
80,65417
81,69708
82,65459
83,65375
84,66083
85,65375
86,65542
87,65333
88,70083
89,98292
90,65667
91,136500
92,73416
93,219042
94,111875
95,128167
96,101292
97,84791
98,184041
99,127333
100,186042
