Run,Time (nanoseconds)
1,124708
2,95958
3,78125
4,73875
5,71833
6,70666
7,68791
8,68667
9,68375
10,68084
11,67125
12,66667
13,65750
14,66416
15,66583
16,66042
17,65000
18,66125
19,65667
20,65750
21,66792
22,66500
23,65875
24,65917
25,66250
26,65875
27,65458
28,64834
29,65333
30,65833
31,65167
32,65958
33,66000
34,65959
35,64500
36,64875
37,65417
38,66250
39,65375
40,65541
41,65292
42,65042
43,66125
44,67084
45,65291
46,66417
47,65750
48,66250
49,65417
50,64834
51,65375
52,67416
53,64000
54,60250
55,59875
56,61000
57,60625
58,60333
59,59917
60,60791
61,60000
62,60333
63,59250
64,59833
65,59583
66,59834
67,59959
68,59500
69,58500
70,59375
71,60083
72,59334
73,58958
74,59416
75,59875
76,58750
77,58959
78,59459
79,58750
80,58917
81,59542
82,58958
83,59625
84,59542
85,59416
86,59541
87,59958
88,59667
89,59250
90,59583
91,59250
92,58500
93,59167
94,59292
95,59541
96,59584
97,60000
98,58875
99,59542
100,58500
