Run,Time (nanoseconds)
1,1426458
2,935375
3,1227625
4,1186917
5,1139666
6,1015167
7,1300750
8,1067625
9,992500
10,1252792
11,1133417
12,1061041
13,986666
14,951625
15,931333
16,921125
17,841792
18,1074125
19,991917
20,932042
21,891375
22,867000
23,839459
24,837041
25,1025041
26,1131500
27,766125
28,759041
29,753667
30,749542
31,749917
32,695166
33,704584
34,710583
35,710708
36,712875
37,692416
38,690333
39,715792
40,722333
41,677084
42,677625
43,682167
44,678208
45,678083
46,668875
47,866875
48,744292
49,718375
50,701250
51,687042
52,681625
53,672791
54,667000
55,651625
56,657417
57,758042
58,715875
59,708875
60,693167
61,660709
62,654625
63,647459
64,637625
65,649125
66,641208
67,635792
68,633625
69,631709
70,666584
71,695041
72,633375
73,616000
74,604500
75,614125
76,603750
77,602833
78,603375
79,606750
80,610583
81,625041
82,688583
83,700250
84,627583
85,623750
86,607500
87,599875
88,612125
89,603958
90,605167
91,610667
92,567417
93,579250
94,567084
95,560042
96,560625
97,634833
98,654458
99,568042
100,552084
