Run,Time (nanoseconds)
1,69791
2,40500
3,31750
4,30708
5,30792
6,30042
7,29791
8,29916
9,29625
10,29542
11,29375
12,29583
13,29250
14,29750
15,29375
16,29375
17,29125
18,28916
19,28667
20,29084
21,29125
22,29167
23,29334
24,29375
25,29125
26,29041
27,29083
28,29166
29,29000
30,28292
31,29250
32,29084
33,28958
34,29333
35,29375
36,29292
37,28916
38,29084
39,28958
40,29166
41,28959
42,28792
43,28917
44,29125
45,28583
46,28917
47,28417
48,29083
49,28750
50,28417
51,28875
52,29083
53,28917
54,28916
55,29000
56,29292
57,28875
58,29125
59,29375
60,29291
61,29417
62,28667
63,29000
64,28334
65,28625
66,28750
67,28166
68,28708
69,29208
70,28583
71,28500
72,28625
73,28583
74,28958
75,28958
76,28458
77,28708
78,29334
79,28500
80,28625
81,29042
82,29083
83,29583
84,28709
85,28625
86,29000
87,29042
88,28709
89,28500
90,28708
91,29167
92,28750
93,28167
94,28958
95,28875
96,28458
97,28625
98,29500
99,28750
100,28542
