Run,Time (nanoseconds)
1,34416
2,26500
3,26625
4,23875
5,25250
6,23083
7,23000
8,24958
9,25000
10,23041
11,22709
12,39042
13,22542
14,26667
15,25042
16,23542
17,22708
18,22500
19,24875
20,22709
21,22875
22,23000
23,22667
24,22708
25,24959
26,62209
27,54958
28,46958
29,45542
30,61084
31,70666
32,24917
33,49792
34,24000
35,46209
36,23542
37,53792
38,30042
39,47334
40,55083
41,54375
42,53875
43,54042
44,38583
45,60292
46,55542
47,58042
48,54792
49,47042
50,64584
51,23375
52,46875
53,47250
54,25333
55,46417
56,46459
57,66458
58,46709
59,46375
60,25500
61,63667
62,22791
63,54375
64,22584
65,33959
66,22667
67,24917
68,22542
69,22833
70,24709
71,24958
72,24750
73,46916
74,53708
75,22833
76,32792
77,53708
78,46583
79,55833
80,23000
81,53542
82,40125
83,22792
84,23000
85,23125
86,22959
87,22709
88,22667
89,22917
90,30541
91,22750
92,24666
93,22959
94,36125
95,25250
96,23000
97,53417
98,53541
99,34416
100,54375
