Run,Time (nanoseconds)
1,33125
2,33208
3,32375
4,29000
5,26042
6,34542
7,31709
8,25833
9,25042
10,24708
11,24834
12,24584
13,24750
14,24708
15,24750
16,27250
17,24750
18,29542
19,24625
20,24875
21,24833
22,24708
23,25708
24,26000
25,25333
26,24875
27,25000
28,24750
29,24917
30,24708
31,24667
32,24875
33,24667
34,24917
35,25167
36,24750
37,24792
38,25042
39,25292
40,25125
41,29625
42,24875
43,24833
44,24875
45,24791
46,25042
47,25000
48,24792
49,24833
50,24792
51,24958
52,24916
53,24750
54,24709
55,24791
56,24834
57,24709
58,24708
59,25083
60,24709
61,25125
62,25209
63,25000
64,24750
65,24708
66,24667
67,24917
68,25125
69,25083
70,25083
71,27000
72,25084
73,25209
74,25000
75,31875
76,29416
77,24666
78,24959
79,25292
80,25083
81,29500
82,24000
83,29916
84,24750
85,27000
86,30542
87,24875
88,25166
89,29584
90,23625
91,30458
92,30875
93,32000
94,29584
95,23916
96,24583
97,24791
98,24958
99,30667
100,23834
