Run,Time (nanoseconds)
1,345125
2,374875
3,375459
4,368250
5,413041
6,409125
7,373875
8,362208
9,413167
10,393583
11,421500
12,367500
13,378750
14,363625
15,369834
16,556917
17,394958
18,459042
19,766875
20,384042
21,381125
22,366917
23,479250
24,371084
25,365208
26,364791
27,519959
28,445292
29,501542
30,487417
31,352750
32,374208
33,343667
34,333500
35,389291
36,331541
37,329292
38,333417
39,452958
40,375542
41,595583
42,345041
43,373750
44,339750
45,346167
46,330875
47,374833
48,329958
49,332084
50,338375
51,334583
52,336917
53,335416
54,326458
55,328292
56,344584
57,359208
58,333416
59,346875
60,566583
61,397541
62,397625
63,450292
64,526667
65,585916
66,534000
67,457125
68,496583
69,390500
70,4140625
71,742875
72,666709
73,665916
74,755292
75,470375
76,1126958
77,597083
78,389333
79,721208
80,371041
81,1125667
82,598584
83,713000
84,1061166
85,744500
86,375750
87,373167
88,1004625
89,333417
90,334834
91,503208
92,363458
93,347208
94,331416
95,335083
96,717625
97,371458
98,876125
99,581334
100,670917
