Run,Time (nanoseconds)
1,32750
2,14792
3,13375
4,13375
5,12166
6,12792
7,14959
8,13291
9,12584
10,12917
11,12792
12,12959
13,12750
14,12208
15,11875
16,11750
17,11958
18,12000
19,12375
20,12208
21,12875
22,12000
23,25541
24,12750
25,12167
26,12208
27,12042
28,12875
29,12291
30,24625
31,14375
32,14708
33,22500
34,30667
35,24250
36,12292
37,24959
38,23667
39,23750
40,26250
41,25584
42,23000
43,23166
44,28792
45,30833
46,11958
47,22666
48,33875
49,24250
50,24916
51,24542
52,12042
53,31500
54,29916
55,24042
56,23500
57,31167
58,23791
59,23875
60,31875
61,23292
62,23667
63,14209
64,13542
65,30417
66,23042
67,12333
68,11875
69,12084
70,11791
71,11916
72,11875
73,12000
74,20750
75,12000
76,12000
77,12041
78,12250
79,11792
80,12792
81,13208
82,12791
83,25083
84,11959
85,12334
86,23750
87,12875
88,24000
89,25750
90,30917
91,23500
92,12209
93,23416
94,22958
95,22833
96,23500
97,23000
98,22917
99,13291
100,12750
