Run,Time (nanoseconds)
1,20541
2,14750
3,13208
4,10750
5,10125
6,9875
7,9833
8,10417
9,9708
10,9750
11,9708
12,9750
13,9625
14,9709
15,16042
16,12917
17,10708
18,10917
19,9792
20,9750
21,9750
22,9791
23,10125
24,9917
25,9750
26,9792
27,25125
28,26250
29,29083
30,24667
31,19541
32,25167
33,24250
34,20917
35,29583
36,21292
37,22833
38,22583
39,24625
40,28583
41,36459
42,31041
43,24750
44,21250
45,11292
46,10542
47,10500
48,10250
49,9833
50,9708
51,9709
52,9791
53,9833
54,9583
55,10458
56,24250
57,20292
58,21833
59,29708
60,14000
61,33334
62,33666
63,16625
64,10125
65,9958
66,9750
67,9833
68,9708
69,9750
70,10250
71,9709
72,23083
73,10417
74,9875
75,9958
76,9791
77,9708
78,9791
79,16416
80,9833
81,11292
82,30667
83,36042
84,25250
85,22708
86,9833
87,22500
88,9792
89,10166
90,22750
91,9917
92,21916
93,10958
94,9875
95,9875
96,10042
97,9791
98,11209
99,10542
100,10209
